musica,letras
Transylvania,[ Instrumental]
Strange World,"The only place where you can dream Living here is not what it seems Ship of white light in the sky Nobody there to reason why Here I am, I'm not really there Smiling faces ever so rareA let's walk in deepest space Living here just isn't the place Stalks of light come from the ground When I cry there isn't a sound All my feelings cannot be heldI'm happy in my new strange world Shades of green grasses twine Girls drinking plasma wineA look at love, a dream unfolds Living here, you'll never grow old Don't you hear me call?  Ooh"
Charlotte The Harlot,"Giving a swish with your arse in the air, don't you know what they're saying? Charlotte you're so refined when you take all the love that they're giving Sticking with every man that you find, don't you know what they're after? Charlotte you've got your legs in the air, don't you hear all the laughter? Charlotte the  Harlot show me your legs Charlotte the  Harlot take me to bed Charlotte the  Harlot let me see blood Charlotte the  Harlot let me see love Taking so many men to your room, don't you feel no remorse? You charge them a fiver,  It's only for starters And ten for the main course And you've got no feelings, they died long ago Don't you care who you let in? And don't you know you're breaking the law with the service you're giving. Charlotte the  Harlot show me your legs Charlotte the  Harlot take me to bed Charlotte the  Harlot let me see blood Charlotte the  Harlot let me see love There was a time when you left me standing there Picking up pieces of love off the floor Well  Charlotte you left me alone in there To make your ends as a bloody whore Well  Charlotte you told me you love me true Picking up pieces of love yesterday Well  Charlotte you're draws are off color too' Cause you're making love all day' Cause you make it!(oh, 'cause you make it!) Giving a swish with your arse in the air, don't you know what they're saying? Charlotte you're so refined when you take all the love that they're giving Sticking with every man that you find, don't you know what they're after? Charlotte you've got your legs in the air, don't you hear all the laughter? Charlotte the  Harlot show me your legs Charlotte the  Harlot take me to bed Charlotte the  Harlot let me see blood Charlotte the  Harlot let me see love"
Iron Maiden,"Won't you come into my roomI wanna show you all my waresI just want to see your bloodI just want to stand and stare See the blood begin to flow As it falls upon the floor Iron  Maiden can't be fought Iron  Maiden can't be sought Oh well, wherever Wherever you are Iron  Maiden's gonna get you No matter how far See the blood flow watching it shed Up above my head Iron  Maiden wants you for dead Won't you come into my roomI wanna show you all my waresI just want to see your bloodI just want to stand and stare See the blood begin to flow As it falls upon the floor Iron  Maiden can't be faught Iron  Maiden can't be sought Oh well, wherever Wherever you are Iron  Maiden's gonna get you No matter how far See the blood flow watching it shed Up above my head Iron  Maiden wants you for dead Won't you come into my roomI wanna show you all my waresI just want to see your bloodI just want to stand and stare See the blood begin to flow As it falls upon the floor Iron  Maiden can't be fought Iron  Maiden can't be sought Oh well, wherever Wherever you are Iron  Maiden's gonna get you No matter how far See the blood flow watching it shed Up above my head Iron  Maiden wants you for dead"
Moonchild,"Seven deadly sins Seven ways to win Seven holy paths to hell And your trip begins Seven downward slopes Seven bloodied hopes Seven are you burning fires, Seven your desires... I am he the bornless one The fallen angel watching you Babylon, the scarlet whoreI'll infiltrate your gratitude Don't you dare to save your son Kill him now and save the young ones Be the mother of birth strangled babe Be the devil's own,  Lucifer's my name Moonchild - hear the mandrake scream Moonchild -  Open the seventh seal I count the heads of those unborn The accursed ones I'll find them all If you die by your own hand As a suicide you shall be damned And if you try to save your soulI will torment you - you shall not grow old With every second and passing breath You'll be so alone your soul will bleed to death Moonchild - hear the mandrake scream Moonchild -  Open the seventh seal Moonchild -  You'll be mine soon child Moonchild - take my hand tonight The twins they are exhausted, seven is this night Gemini is rising as the red lips kiss to bite Seven angels seven demons battle for his soul When  Gabriel lies sleeping, this child was born to die One more dies one more lives One baby cries one mother grieves For all the sins you will commit You'll beg forgiveness and none I'll giveA web of fear shall be your coat To clothe you in the nightA lucky escape for you young man But I'll see you damned in endless night Moonchild - hear the mandrake scream Moonchild -  Open the seventh seal Moonchild -  You'll be mine soon child Moonchild - take my hand tonight"
Can I Play With Madness,"Give me the sense to wonder To wonder if I'm free Give me the sense to wonder To know I can be me Give me the strength, to hold my head up Spit back in their face Don't need no key, to unlock this door Gonna break down the walls Break out of this bad place Can I play with madness? The prophet stared at his crystal ball Can I play with madness? There's no vision there at all Can I play with madness? The prophet looked and he laughed at me! Can I play with madness? He said:  You're blind, too blind to see! I screamed aloud to the old manI said:  Don't lie, don't say you don't know!I say:  You'll pay for your mischief in this world, or the next! Oh, then he fixed me with a freezing glance And the hellfires raged in his eyes He said:  Do you want to know the truth son?I'll tell you the truth!  Your soul's gonna burn, in a lake of fire! Can I play with madness? The prophet stared at his crystal ball Can I play with madness? There's no vision there at all Can I play with madness? The prophet looked and he laughed at me! Can I play with madness? He said:  You're blind, too blind to see! Can I play with madness? The prophet stared at his crystal ball Can I play with madness? There's no vision there at all Can I play with madness? The prophet looked and he laughed at me! Can I play with madness? He said:  You're blind, too blind to see!"
The Prisoner,"We want information, information, information Who are you? The new number two. Who´s number one? You are number six.I´m not a number ya.I´m a free man! Hahahahaha! I'm on the run, I'll kill to eat, Starving now, feeling dead on my feet. Going all the way, I'm nature's beast. Do what i want, I do as i please. Run, you've gotta fight, to breathe, it's tough. Now you see me, now you don't. Break the walls, I'm coming out. I'm not a prisoner, I'm a free man, And my blood is my own now. Don't care where the past was,I know where I'm going...out. If you kill me, it's self defence. If I kill you, then I call it vengeance. Spit in your eye, I will defy. You'll be afraid when I call out your name. Run, you've gotta fight, to breathe, it's tough. Now you see me, now you don't. Break the walls, I'm coming out. I'm not a prisoner, I'm a free man, And my blood is my own now. Don't care where the past was,I know where I'm going. I'm not a number, I'm a free man,I'll live my life how i want to. You'd better scratch mefrom your black book,' Cause I'll run rings around you."
2 Minutes To Midnight,"Kill for gain or shoot to maim But we don't need a reason The  Golden  Goose is on the loose And never out of season. Blackened pride still burns inside This shell of bloody treason Here's my gun for a barrel of fun For the love of living death. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. The blind men shout let the creatures out We'll show the unbelievers, The  Napalm screams of human flames Of a prime time  Belsen feast... Y E AH! As the reasons for the carnage cut their meatand lick the gravy, We oil the jaws of the war machineand feed it with our babies. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. The body bags and little rags of childrentorn in two, And the jellied brains of those who remainto put the finger right on you As the madmen play on words and make us alldance to their song, To the tune of starving millionsto make a better kind of gun. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. Midnight... Midnight... Midnight...is all night Midnight... Midnight... Midnight...is all night."
Afraid To Shoot Strangers,"Lying awake at night I wipe the sweatfrom my brow But it's not the fear 'cosI'd rather go now Trying to visualize the horrors thatwill lay ahead The desert sand mound a burial ground When it comes to the time Are we partners in crime? When it comes to the time We'll be ready to die God let us go now and finish what'sto be done Thy  Kingdom  Come Thy shall be done... on earth Trying to justify to ourselves thereasons to go Should we live and let live Forget or forgive But how can we let them go on this way? The reign of terror corruption must end And we know deep down there'sno other way No trust, no reasoning, no more to say Afraid to shoot strangers Afraid to shoot strangers"
The Trooper,"You'll take my life, but I'll take yours too You'll fire your musket, but I'll run you through So when you're waiting for the next attack You'd better stand, there's no turning back The bugle sounds and the charge begins But on this battlefield no one wins The smell of acrid smoke and horses breath As I plunge on into certain death Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh The horse he sweats, with fear, we break to run The mighty roar of the russian guns And as we race towards the human wall The screams of pain as my comrades fall We hurdle bodies that lay on the ground And the russians fire another round We get so near yet so far away We won't live to fight another day Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh We get so close, near enough to fight When a russian gets me in his sights He pulls the trigger, and I feel the blowA burst of rounds take my horse below And as I lay there gazing at the sky My body's numb and my throat is dry And as I lay forgotten and alone Without a tear I draw my parting groan Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh"
The Number Of The Beast,"Woe to you, oh, earth and sea For the devil sends the beast with wrath Because he knows the time is short Let him who hath understanding reckon The number of the beast for it is a human number Its number is six hundred and sixty six I left alone, my mind was blankI needed time to think to Get the memories from my mind What did I see, can I believe That what I saw that night was real And not just fantasy Just what I saw, in my old dreams Were they reflections of my warped mind Staring back at me ' Cause in my dreams, it's always there The evil face that twists my mind and brings Me to despair The night was black, was no use holding back' Cause I just had to see, was someone watching me In the mist, dark figures move and twist Was all this for real, or just some kind of hell666, the number of the beast Hell and fire was spawned to be released Torches blazed and sacred chants were praised As they start to cry Hands held to the sky In the night, the fires are burning bright The ritual has begun, satan's work is done666, the number of the beast Sacrifice is going on tonight This can't go on, I must inform the law Can this still be real or just some crazy dream But I feel drawn towards the chanting hordes They seem to mesmerize Can't avoid their eyes666, the number of the beast666, the one for you and me I'm coming back, I will return And I'll possess your body and I'll make you burnI have the fire, I have the forceI have the power to make my evil take it's course"
Phantom Of The Opera,"I've been looking so long for you now you won't get away from my grasp You've been living so long in hiding in hiding behind that false mask And you know and I know that you aint got long now to last Your looks and your feelings are just the remains of your past You're standing in the wings, there you wait for the curtain to fall Knowing the terror and holding you have on us all Yeah, I know that you're gonna scratch me, maim me and maul You know I'm helpless from your mesmerising cat call Keep your distance, walk away, don't take his bait Don't you stray, don't fade away Watch your step, he's out to get you, come what may Don't you stray, from the narrow way I'm running and hiding in my dreams you're always there You're the phantom of the opera, you're the devil, you're just out to scare You damaged my mind and my soul it just floats through the air Haunt me, you taunt me, you torture me back at your lair"
Run To The Hills,"White man came across the sea He brought us pain and misery He killed our tribes, he killed our creed He took our game for his own need We fought him hard, we fought him well Out on the plains, we gave him hell But many came, too much for  Cree Oh, will we ever be set free? Riding through dustclouds and barren wastes Galloping hard on the plains Chasing the redskins back to their holes Fighting them at their own game Murder for freedom, a stab in the back Women and children and cowards attack Run to the hills, run for your lives Run to the hills, run for your lives Soldier blue in the barren wastes Hunting and killing for game Raping the women and wasting the men The only good  Indians are tame Selling them whisky and taking their gold Enslaving the young and destroying the old Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives"
Wasted Years,"From the coast of gold, across the seven seasI'm travelling on, far and wide But now it seems I'm just a stranger to myself And all the things I sometimes do It isn't me, but someone else I close my eyes, and think of home Another city goes by, in the night Ain't it funny how it is, you never miss it 'til it's gone away And my heart is lying there and will be 'til my dying day So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years Too much time on my hands, I got you on my mind Can't ease this pain so easily When you can't find the words to say It's hard to make it through another day And it makes me wanna cry And throw my hands up to the sky So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years"
Seventh Son Of A Seventh Son,"Here they stand, brothers them all All the sons, divided they'd fall Here await the birth of the son The seventh, the heavenly, the chosen one Here the birth from an unbroken line Born the healer, the seventh, his time Unknowingly blessed and as his life unfolds Slowly unveiling the power he holds Seventh son of a seventh son Seventh son of a seventh son Seventh son of a seventh son Seventh son of a seventh son Then they watch the progress he makes The  Good and  Evil which path will he take Both of them trying to manipulate The use of his powers, before it's too late Seventh son of a seventh son Seventh son of a seventh son Seventh son of a seventh son Seventh son of a seventh son Today is born the seventh one Born of woman the seventh son And he in turn of a seventh son He has the power to heal He has the gift of the second sight He is the chosen one So it shall be written So it shall be done"
The Clairvoyant,"Feel the sweat break on my brow Is it me or is it shadows that are Dancing on the walls. Is this a dream or is it now Is this a vision or normality I see Before my eyes. I wonder why, I wonder how That it seems that the power is getting stronger Every dayI feel a strength an inner fire But I'm scared I won't be able to control it anymore There's a time to live and a time to die When it's time to meet the maker There's a time to live but isn't it strange That as soon as you're born you're dying. Just by looking through your eyes He could see the future penetrating right In through you mind See the truth and see your lies But for all his power couldn't foresee his own demise There's a time to live and a time to die When it's time to meet the maker There's a time to live but isn't it strange That as soon as you're born you're dying......and be reborn again?"
Fear Of The Dark,"I am a man who walks alone And when I'm walking in a dark road At night or strolling through the park When the light begins to changeI sometimes feel a little strangeA little anxious when it's dark Fear of the dark, fear of the darkI have a constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there Have you run your fingers down the wall And have you felt your neck skin crawl When you're searching for the light? Sometimes when you're scared to take a look At the corner of the room You've sensed that something's watching you Fear of the dark, fear of the darkI have a constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there Have you ever been alone at night Thought you heard footsteps behind And turned around and no one's there? And as you quicken up your pace You'll find it hard to look again Because you're sure that someone's there Fear of the dark, fear of the darkI have a constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there Fear of the dark Fear of the dark Fear of the dark Fear of the dark Fear of the dark Fear of the dark Fear of the dark Fear of the dark Watching horror films the night before Debating witches and folklores The unknown troubles on your mind Maybe your mind is playing tricks You sense, and suddenly eyes fix On dancing shadows from behind Fear of the dark, fear of the darkI have constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there Fear of the dark, fear of the darkI have constant fear that something's always near Fear of the dark, fear of the darkI have a phobia that someone's always there When I'm walking in a dark roadI am a man who walks alone"
Iron Maiden,"Won't you come into my roomI wanna show you all my waresI just want to see your bloodI just want to stand and stare See the blood begin to flow As it falls upon the floor Iron  Maiden can't be fought Iron  Maiden can't be sought Oh well, wherever Wherever you are Iron  Maiden's gonna get you No matter how far See the blood flow watching it shed Up above my head Iron  Maiden wants you for dead Won't you come into my roomI wanna show you all my waresI just want to see your bloodI just want to stand and stare See the blood begin to flow As it falls upon the floor Iron  Maiden can't be faught Iron  Maiden can't be sought Oh well, wherever Wherever you are Iron  Maiden's gonna get you No matter how far See the blood flow watching it shed Up above my head Iron  Maiden wants you for dead Won't you come into my roomI wanna show you all my waresI just want to see your bloodI just want to stand and stare See the blood begin to flow As it falls upon the floor Iron  Maiden can't be fought Iron  Maiden can't be sought Oh well, wherever Wherever you are Iron  Maiden's gonna get you No matter how far See the blood flow watching it shed Up above my head Iron  Maiden wants you for dead"
Aces High,""" We shall go on to the end We shall fight in  France We shall fightover the seas and oceans.we shall fight with growing confidence and growing strength in the air. We shall defend our island whatever the cost may bewe shall fight on beaches, we shall fight on the landing groundswe shall fight in the fields and in the streetswe shall fight on the hills. We shall never surrender."" There goes the siren that warns of the air raid Then comes the sound of the guns sending flak Out for the scramble, we've got to get airborne Got to get up for the coming attack Jump in the cockpit and start up the engines Remove all the wheelblocks, there's no time to waste Gathering speed as we head down the runway Got to get airborne before it's too late Running, scrambling, flying Rolling, turning, diving Going in again Running, scrambling, flying Rolling, turning, diving Run Live to fly, fly to live, do or die Won't you Run, live to fly, fly to live Aces high Move in to fire at the mainstream of bombers Let off a sharp burst and then turn away Roll over, spin round to come in behind them Move to their blindsides and firing again Bandits at 8 o'clock are moving behind us Ten  ME-109's out of the sun Ascending and turning, our spitfires to face them Heading straight for them I press down my guns Rolling, turning, diving Rolling, turning, diving Going in again Rolling, turning, diving Rolling, turning, diving Run Live to fly, fly to live, do or die Won't you Run, live to fly, fly to live Aces high"
The Evil That Men Do,"Love is a razor And I walked the line on that silver blade Slept in the dust with his daughter Her eyes red with the slaughter of innocence And I will pray for herI will call her name out loudI would bleed for her If I could only see her now Living on the razor's edge Balancing on the ledge Living on the razor's edge Balancing on the ledge Balancing on the ledge Living on the razor's edge Balancing on the ledge You know, you know! The evil that men do lives on and on The evil that men do lives on and on! The evil that men do lives on and on The evil that men do lives on and on! Circle of fire my baptism of joy And an end it seems The seventh lamb slain The book of life opens before me And I will pray for you Some day I may return Don't you cry for me Beyond is where I learn Living on the razor's edge Balancing on the ledge Living on the razor's edge You know, you know! The evil that men do lives on and on The evil that men do lives on and on! The evil that men do lives on and on The evil that men do lives on and on! Yeah, yeah! Living on the razor's edge Balancing on the ledge Living on the razor's edge You know, you know! The evil that men do lives on and on The evil that men do lives on and on! The evil that men do lives on and on The evil that men do lives on and on! The evil The evil The evil that men do! The evil The evil The evil that men do! Yeah, yeah!"
Running Free,"Just sixteen, a pickup truck Out of money, out of luckI've got nowhere to call my own Hit the gas, and here I go I'm running free yeah, I'm running freeI'm running free yeah,  Oh I'm running free Spent the night in an L. A. jail And listened to the sirens wail They ain't got a thing on meI'm running wild, I'm running free I'm running free yeah, I'm running freeI'm running free yeah,  Oh I'm running free ( Get out off my way, yeah!) I'm running free yeah, I'm running freeI'm running free yeah, oh I'm running free Puller here at the  Bottle  Top Whiskey, dancing, disco hop Now all the boys are after me And that's the way it's gonna be I'm running free yeah, I'm running freeI'm running free yeah, oh I'm running free"
Satellite 15... The Final Frontier,"I try to call the  Earth's command Desperation in my voiceI'm drifting way off course now With very little choice The loneliness is hard to bearI try to calm my fear Just hoping any second now Some contact filters through Desperate calls... Signal back from  Satellite As my life flashes right infront of me Try again...must get through Hear me now... For I've very little time Not much time...hear my call Please get through...I am here I'm stranded in space, I'm lost without traceI haven't this chance of getting away Too close to the sun and surely will burn Like  Icarus before me or so legend goes I think my life, reliving my past There's nothing but wait til' my time comesI've had a good life, I'd do it again Maybe I'll come back some time afresh For I have lived my life to the full, I have no regrets But I wish I could talk to my family to tell them one last goodbye The final frontier, the final frontier!! The final frontier, the final frontier!! If I could survive to live one more time, I wouldn't be changing a thing at all Done more in my life than some do in ten - I'd go back and do it all over again For I have lived my life to the full, I have no regrets But I wish I could talk to my family and tell them that one last goodbye The final frontier, the final frontier!! The final frontier, the final frontier!! Solo ( Smith/ Murray) There isn't much time, must say my last rites -  Nobody is here to read them to me Must say my goodbyes, if only a line - A message to tell them in case they might find... For I have lived my life to the full, I have no regrets But I wish I could talk to my family to tell them that one last goodbye The final frontier, the final frontier!! The final frontier, the final frontier!! The final frontier, the final frontier!! The final frontier, the final frontier!! Ah, ah!  The final frontier, the final frontier!! The final frontier, the final frontier!!"
El Dorado,"Gotta to tell you a story On a cold winter's night You'll be sailing for glory Before you know what is right So come over here nowI got a vision for you It's my personal snake oil It's just something I doI'm the jester with no tears And I'm playing on your fearsI'm a trickster smiling underneath this mask of love and death The eternal lie I've told About the pyramids of goldI've got you hooked at every turn, your money's left to burn Ha ha ha ha ha ha ha! You'll be wanting a contract You'll be waiting a whileI'd like to give you my contact But that isn't my style Well you only get one chance And it's too good to miss If I didn't lie to you Then I wouldn't exist Greed lust and envy pride It's same old same old ride The smoke and mirrors visions that you see Are just like meI'm a clever banker's face With just a letter out of placeI know someone just like you know someone just like me El  Dorado, come and play El  Dorado, step this way Take a ticket for the ride El  Dorado streets of gold See my ship is oversold You've got one last chance to try So gone is the glory And gone is the gold Well if you knew a storyhow come it has to be told Well you can say I'm a devil And I wouldn't say no But out here on the dark side Hey, on with the show So now my tale is told Big and bad and twice as bold This ship of fools is sinking as the cracks begin to grow There is no easy way For an honest man today Which is something you should think on As my life boat sails away El  Dorado, come and play El  Dorado, step this way Take a ticket for the ride El  Dorado, of streets of gold See my ship is oversold You've got one last chance to try El  Dorado, come and play El  Dorado, step this way Take a ticket for the ride El  Dorado of streets of gold See my ship is oversold You've got one last chance to try"
2 Minutes To Midnight,"Kill for gain or shoot to maim But we don't need a reason The  Golden  Goose is on the loose And never out of season. Blackened pride still burns inside This shell of bloody treason Here's my gun for a barrel of fun For the love of living death. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. The blind men shout let the creatures out We'll show the unbelievers, The  Napalm screams of human flames Of a prime time  Belsen feast... Y E AH! As the reasons for the carnage cut their meatand lick the gravy, We oil the jaws of the war machineand feed it with our babies. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. The body bags and little rags of childrentorn in two, And the jellied brains of those who remainto put the finger right on you As the madmen play on words and make us alldance to their song, To the tune of starving millionsto make a better kind of gun. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. Midnight... Midnight... Midnight...is all night Midnight... Midnight... Midnight...is all night."
The Talisman,"When I stand and look About the port And contemplate my life, will  I Ever see my countrymen again? As the captain calls us on the deckI take my things and walk To the harbourside, I glance back One last time Fleeing our nation, our problems We leave behind Ships by the tenfold sail Out on the tide We are pleased to be out and Embracing the open sea Free from our troubles And more free from thee Inheritors unfulfilled reason Behind us We flee from what is not what Is will be We flee the earth and face our Harsh reality Will death be low mist that Hangs on the sea? We run from the evil tongues, rash Judgements, selfish men Never to be seen on these Shores again As we sail into oceansize And lose sight of all landA face of contentment Around in the air We're off now to Seek all our fortunes To the land of our dreams Riding the waves and the storm Is upon us The winds lash the sails but The ropes keep them tight Off in the distance a dark cloud Approaching None could imagine what there Was to come No, there's no one going back No, there's not a second chance As we strap onto the side We pray to  God that we don't die As we ride the rough seas As we soak from the ocean wavesI just hope for all our lives And pray that I survive Four ships are lost in the Stormy conditions The spirits of the sunken crews Their phantoms follow us Spirits, sails, they drive us on Through the all consuming waves Cold mortality, no weapon Against these ever raging seas Four leagues and ten and we Hit storms again We just can't get away from The eye of the storm The birds outsoar the raging storm But we cannot escape it Abandoned earth that we Now crave Is many leagues from safe Holding on for our dear lives And we're praying once again Rotten luck or just jonahed? The talisman is in my hand Limbs fatigues, trembling with cold Blinded from the sea spray salt Clasping anything we can hold Heaven's rain upon us falls Twenty days without a meal And ten without fresh water still Those that didn't die in storms The scurvy rest did slaughter Westwards the tide Westwards we sail on Westwards the tide Sail by the talisman We approach the other side Of the ocean with the tide In our favour just for once Welcome greeting, our new land The elation in our hearts The excitement in our veins As we sail towards the coastline Of our golden promised land Weary limbs fatigued awayI have no life left in me No more strength and nothing Left to give Must find the will to live Never thought that we could Make it Truly sight of shores divine The sickness I am dying from Never wanted it to end this way Westwards the tide Westwards we sail on Westwards the tide Sail by the talisman"
Coming Home,"When I stand before you shining in the early morning sun When I feel the engines roar and I think of what we've done Oh, the bittersweet reflection as we kiss the earth goodbye As the waves and echoes of the towns become the ghosts of time Over borders that divide the earthbound tribes No creed and no religion just a hundred winged souls We will ride this thunderbird, silver shadows on the earthA thousand leagues away, our land of birth To  Albion's land Coming home when I see the runway lights In the misty dawn the night is fading fast Coming home, far away as their vapor trails align Where I've been tonight, you know I will not stay Curving on the edge of daylight til it slips into the void Waited in the long night, dreaming til the sun is born again Stretched the fingers of my hand, covered countries with my span Just a lonely satellite, speck of dust and cosmic sand Over borders that divide the earthbound tribes Through the dark atlantic; over mounting stormy waves We will ride this thunderbird, silver shadows on the earthA thousand leagues away, our land of birth To  Albion's land Coming home when I see the runway lights In the misty dawn the night is fading fast Coming home, far away as their vapor trails align Where I've been tonight, you know I will not stay To  Albion's land Coming home when I see the runway lights In the misty dawn the night is fading fast Coming home, far away as their vapor trails align Where I've been tonight, you know I will not stay Coming home, far away when I see the runway lights In the misty dawn the night is fading fast Coming home, far away as their vapor trails align Where I've been tonight, you know I will not stay"
Dance Of Death,"Let me tell you a story to chill the bones About a thing that I saw One night wandering in the evergladesI'd one drink but no more I was rambling, enjoying the bright moonlight Gazing up at the stars Not aware of a presence so near to me Watching my every move Feeling scared and I fell to my knees As something rushed me from the trees Took me to an unholy place And that is where I fell from grace Then they summoned me over to join in with them To the dance of the dead In to the circle of fire I followed them Into the middle I was led As if time had stopped stillI was numb with fear, but still, I wanted to go And the blaze of the fire did no hurt upon me As I walked on to the coals Then I felt I was in a trance And my spirit was lifted from me And if only someone had the chance To witness what happened to me And I danced and I pranced and I sang with them All had death in their eyes Lifeless figures they were undead all of them They had ascended from hell As I danced with the dead My free spirit was laughing and howling down at me Below my undead body just danced the circle of death Until the time came to reunite us both My spirit came back down to meI didn't know if I was alive or dead As the others all joined in with me By luck then a skirmish started And took the attention away from me When they took their gaze from me Was the moment that I fled I ran like hell faster than the wind But behind I did not glance One thing that I did not dare Was to look just straight ahead When you know that your time has come around You know you'll be prepared for it Say your last goodbyes to everyone Drink and say a prayer for it When you're lying in your sleep, when you're lying in your bed And you wake from your dreams to go dancing with the dead When you're lying in your sleep, when you're lying in your bed And you wake from your dreams to go dancing with the dead To this day I guess I'll never know Just why they let me go But I'll never go dancing no more' Til I dance with the dead"
The Trooper,"You'll take my life, but I'll take yours too You'll fire your musket, but I'll run you through So when you're waiting for the next attack You'd better stand, there's no turning back The bugle sounds and the charge begins But on this battlefield no one wins The smell of acrid smoke and horses breath As I plunge on into certain death Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh The horse he sweats, with fear, we break to run The mighty roar of the russian guns And as we race towards the human wall The screams of pain as my comrades fall We hurdle bodies that lay on the ground And the russians fire another round We get so near yet so far away We won't live to fight another day Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh We get so close, near enough to fight When a russian gets me in his sights He pulls the trigger, and I feel the blowA burst of rounds take my horse below And as I lay there gazing at the sky My body's numb and my throat is dry And as I lay forgotten and alone Without a tear I draw my parting groan Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh"
The Wicker Man,"Hand of fate is moving and the finger points to you He knocks you to your feet and so what are you gonna do Your tongue has frozen now you've got something to say The piper at the gates of dawn is calling you his way You watch the world exploding every single night Dancing in the sun a new born in the light Say goodbye to gravity and say goodbye to death Hello to eternity and live for every breath Your time will come Your time will come Your time will come Your time will come The ferryman wants his money you ain't gonna give it back He can push his own boat as you set off up the track Nothing you can contemplate will ever be the same Every second is a new spark, sets the universe aflame You watch the world exploding every single night Dancing in the sun a new born in the light Brothers and their fathers joining hands to make a chain The shadow of the  Wicker man is rising up again Your time will come Your time will come"
Blood Brothers,"And if you're taking a walk throughthe garden of life What do you think you'd expect youwould see? Just like a mirror reflecting themoves of your life And in the river reflections of me Just for a second a glimpse of myfather I see And in a movement he beckons to me And in a moment the memories are allthat remain And all the wounds are reopening again We're blood brothers We're blood brothers We're blood brothers We're blood brothers And as you look all around at theworld in dismay What do you see, do you think wehave learned Not if you're taking a look at thewar-torn affray Out in the streets where the babiesare burned We're blood brothers We're blood brothers We're blood brothers We're blood brothers There are times when I feel I'm afraidfor the world There are times I'm ashamed of us all When you're floating on all theemotion you feel And reflecting the good and the bad Will we ever know what the answerto life really is? Can you really tell me what life is? Maybe all the things that you knowthat are precious to you Could be swept away by fate'sown hand We're blood brothers We're blood brothers We're blood brothers We're blood brothers When you think that we've usedall our chances And the chance to makeeverything right Keep on making the sameold mistakes Makes untipping the balance so easy When we're living our lives onthe edge Say a prayer on the book of the dead We're blood brothers We're blood brothers We're blood brothers We're blood brothers And if you're taking a walk throughthe garden of life"
